"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","gene_version","gene_name","gene_biotype","gene_source","location","chromosome"
58.2637664920968,-0.0235774976506145,0.194965126852565,0.365062508360531,0.940765239281635,"ENSG00000227232",5,"WASH7P","unprocessed_pseudogene","havana","chr1:14404-29570:-","1"
40.6500099225157,-0.00215471612418481,0.183808447844243,0.925655001978446,0.998886545738016,"ENSG00000279457",4,"WASH9P","unprocessed_pseudogene","havana","chr1:185217-195411:-","1"
64.9458543262013,0.0102884757092132,0.179579020420332,0.692062626996366,0.998886545738016,"ENSG00000228463",10,"AP006222.1","transcribed_processed_pseudogene","havana","chr1:257864-359681:-","1"
7.63965272117549,-0.0217868305680518,0.320980137498195,0.307923390385048,NA,"ENSG00000237094",12,"AL732372.2","transcribed_unprocessed_pseudogene","havana","chr1:365389-522928:-","1"
7.00414215516334,0.0139841778861475,0.288331802474193,0.471728735589529,NA,"ENSG00000250575",1,"AL732372.3","unprocessed_pseudogene","havana","chr1:491225-493241:-","1"
6.48314860509132,0.00561334102366847,0.239165066800263,0.757227516003283,NA,"ENSG00000230021",10,"AL669831.3","transcribed_processed_pseudogene","havana","chr1:586071-827796:-","1"
1292.78563872796,0.0572110909207984,0.155639632518692,0.250755309638793,0.878685994334078,"ENSG00000225972",1,"MTND1P23","unprocessed_pseudogene","havana","chr1:629062-629433:+","1"
5589.60323355,-0.00628567197627474,0.114107540233739,0.887550257982617,0.998886545738016,"ENSG00000225630",1,"MTND2P28","unprocessed_pseudogene","havana","chr1:629640-630683:+","1"
9702.41864082948,0.0605361394490053,0.133292024893472,0.243176796102559,0.872982529436414,"ENSG00000237973",1,"MTCO1P12","unprocessed_pseudogene","havana","chr1:631074-632616:+","1"
4814.54199848625,0.105741259616752,0.183496484839728,0.086878485333549,0.688780922155878,"ENSG00000229344",1,"MTCO2P12","unprocessed_pseudogene","havana","chr1:632757-633438:+","1"
32.0177280880596,0.00648726590971641,0.189443034825611,0.768095080573745,NA,"ENSG00000240409",1,"MTATP8P1","unprocessed_pseudogene","havana","chr1:633535-633741:+","1"
6696.80590283647,0.0970517197132309,0.179028911508718,0.102973194474909,0.724973039556127,"ENSG00000248527",1,"MTATP6P1","unprocessed_pseudogene","havana","chr1:633696-634376:+","1"
5536.17829598838,0.0738107160152834,0.17094153617451,0.164362880451513,0.807146809189313,"ENSG00000198744",5,"MTCO3P12","unprocessed_pseudogene","havana","chr1:634376-634922:+","1"
